NAMESPACE     NAME                                      READY   STATUS      RESTARTS             AGE     IP           NODE     NOMINATED NODE   READINESS GATES
kube-system   coredns-5f779c8467-qjnnf                  1/1     Running     1 (22h ago)          5d      10.42.3.33   k3s-w1   <none>           <none>
kube-system   helm-install-traefik-crd-4pncg            0/1     Completed   0                    6d20h   <none>       k3s-s1   <none>           <none>
kube-system   helm-install-traefik-hz2v5                0/1     Completed   2                    6d20h   <none>       k3s-s1   <none>           <none>
kube-system   local-path-provisioner-5d9d9885bc-8znkr   1/1     Running     1 (6d2h ago)         6d20h   10.42.0.12   k3s-s1   <none>           <none>
kube-system   metrics-server-fdb7f6596-dzkgl            1/1     Running     1 (22h ago)          5d      10.42.3.32   k3s-w1   <none>           <none>
kube-system   svclb-traefik-405c6267-827kb              2/2     Running     20 (22h ago)         6d20h   10.42.3.31   k3s-w1   <none>           <none>
kube-system   svclb-traefik-405c6267-kxgqx              2/2     Running     20 (20h ago)         6d20h   10.42.4.39   k3s-w2   <none>           <none>
kube-system   svclb-traefik-405c6267-psxjl              2/2     Running     2 (6d2h ago)         6d20h   10.42.0.13   k3s-s1   <none>           <none>
kube-system   svclb-traefik-405c6267-qjd7p              2/2     Running     14 (<invalid> ago)   6d20h   10.42.1.30   k3s-s2   <none>           <none>
kube-system   svclb-traefik-405c6267-zltz2              2/2     Running     14 (<invalid> ago)   6d20h   10.42.2.31   k3s-s3   <none>           <none>
kube-system   traefik-5878496467-rxrq9                  1/1     Running     9 (20h ago)          6d1h    10.42.4.41   k3s-w2   <none>           <none>
testapp       nginx-test-7976d45f7d-jvhkm               1/1     Running     0                    3h2m    10.42.4.42   k3s-w2   <none>           <none>
testapp       nginx-test-7976d45f7d-jx5bm               1/1     Running     0                    3h2m    10.42.0.21   k3s-s1   <none>           <none>
testapp       nginx-test-7976d45f7d-wkw5b               1/1     Running     2 (<invalid> ago)    122m    10.42.1.29   k3s-s2   <none>           <none>
