NAMESPACE   LAST SEEN   TYPE      REASON                         OBJECT                               MESSAGE
testapp     69m         Warning   NodeNotReady                   pod/nginx-testapp-5c8f4cb9d7-2hs8b   Node is not ready
kubeedge    69m         Warning   NodeNotReady                   pod/edge-eclipse-mosquitto-szthb     Node is not ready
default     69m         Normal    NodeNotReady                   node/e1                              Node e1 status is now: NodeNotReady
kubeedge    69m         Warning   NodeNotReady                   pod/edgemesh-agent-x8vtd             Node is not ready
testapp     65m         Normal    TaintManagerEviction           pod/nginx-testapp-5c8f4cb9d7-2hs8b   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-2hs8b
default     40m         Normal    NodeNotReady                   node/e2                              Node e2 status is now: NodeNotReady
testapp     40m         Warning   NodeNotReady                   pod/nginx-testapp-5c8f4cb9d7-w99cg   Node is not ready
testapp     40m         Warning   NodeNotReady                   pod/nginx-testapp-5c8f4cb9d7-v6974   Node is not ready
kubeedge    40m         Warning   NodeNotReady                   pod/edgemesh-agent-wmrc8             Node is not ready
kubeedge    40m         Warning   NodeNotReady                   pod/edge-eclipse-mosquitto-7l5gz     Node is not ready
testapp     35m         Normal    TaintManagerEviction           pod/nginx-testapp-5c8f4cb9d7-v6974   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-v6974
testapp     35m         Normal    TaintManagerEviction           pod/nginx-testapp-5c8f4cb9d7-w99cg   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-w99cg
testapp     40m         Warning   FailedToUpdateEndpoint         endpoints/nginx-testapp              Failed to update endpoint testapp/nginx-testapp: Unauthorized
testapp     40m         Warning   FailedToUpdateEndpointSlices   service/nginx-testapp                Error updating Endpoint Slices for Service testapp/nginx-testapp: failed to update nginx-testapp-bf62d EndpointSlice for Service testapp/nginx-testapp: Unauthorized
