NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                          MESSAGE
default       4m17s       Normal    NodeNotReady              node/k3s-w1                                     Node k3s-w1 status is now: NodeNotReady
kube-system   4m17s       Warning   NodeNotReady              pod/svclb-traefik-405c6267-827kb                Node is not ready
testapp       4m17s       Warning   NodeNotReady              pod/nginx-test-f8f6dcbc6-ztpzk                  Node is not ready
kube-system   4m17s       Normal    UpdatedLoadBalancer       service/traefik                                 Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.133]
kube-system   4m9s        Normal    UpdatedLoadBalancer       service/traefik                                 Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
testapp       4m7s        Normal    TaintManagerEviction      pod/nginx-test-f8f6dcbc6-ztpzk                  Cancelling deletion of Pod testapp/nginx-test-f8f6dcbc6-ztpzk
default       <invalid>   Normal    CertificateExpirationOK   node/k3s-w1                                     Node and Certificate Authority certificates managed by k3s are OK
default       <invalid>   Normal    Starting                  node/k3s-w1                                     
default       55m         Normal    NodeHasNoDiskPressure     node/k3s-w1                                     Node k3s-w1 status is now: NodeHasNoDiskPressure
default       <invalid>   Warning   Rebooted                  node/k3s-w1                                     Node k3s-w1 has been rebooted, boot id: a457d7e7-653e-40b3-92fd-33e46422d1fe
default       55m         Normal    NodeHasSufficientPID      node/k3s-w1                                     Node k3s-w1 status is now: NodeHasSufficientPID
default       55m         Normal    NodeReady                 node/k3s-w1                                     Node k3s-w1 status is now: NodeReady
default       <invalid>   Normal    Starting                  node/k3s-w1                                     Starting kubelet.
default       55m         Normal    NodeHasSufficientMemory   node/k3s-w1                                     Node k3s-w1 status is now: NodeHasSufficientMemory
default       <invalid>   Normal    NodeAllocatableEnforced   node/k3s-w1                                     Updated Node Allocatable limit across pods
monitoring    <invalid>   Normal    Pulled                    pod/monitoring-prometheus-node-exporter-47f25   Container image "quay.io/prometheus/node-exporter:v1.11.1-distroless" already present on machine and can be accessed by the pod
monitoring    <invalid>   Normal    Created                   pod/monitoring-prometheus-node-exporter-47f25   Container created
testapp       <invalid>   Normal    Started                   pod/nginx-test-f8f6dcbc6-ztpzk                  Container started
testapp       <invalid>   Normal    Created                   pod/nginx-test-f8f6dcbc6-ztpzk                  Container created
testapp       <invalid>   Normal    Pulled                    pod/nginx-test-f8f6dcbc6-ztpzk                  Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       <invalid>   Normal    SandboxChanged            pod/nginx-test-f8f6dcbc6-ztpzk                  Pod sandbox changed, it will be killed and re-created.
kube-system   <invalid>   Normal    Pulled                    pod/svclb-traefik-405c6267-827kb                Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    Started                   pod/svclb-traefik-405c6267-827kb                Container started
kube-system   <invalid>   Normal    Created                   pod/svclb-traefik-405c6267-827kb                Container created
kube-system   <invalid>   Normal    Pulled                    pod/svclb-traefik-405c6267-827kb                Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    SandboxChanged            pod/svclb-traefik-405c6267-827kb                Pod sandbox changed, it will be killed and re-created.
kube-system   <invalid>   Normal    Started                   pod/svclb-traefik-405c6267-827kb                Container started
monitoring    <invalid>   Normal    Started                   pod/monitoring-prometheus-node-exporter-47f25   Container started
kube-system   <invalid>   Normal    Created                   pod/svclb-traefik-405c6267-827kb                Container created
monitoring    <invalid>   Normal    SandboxChanged            pod/monitoring-prometheus-node-exporter-47f25   Pod sandbox changed, it will be killed and re-created.
default       <invalid>   Normal    Starting                  node/k3s-w1                                     
default       <invalid>   Normal    CertificateExpirationOK   node/k3s-w1                                     Node and Certificate Authority certificates managed by k3s are OK
default       <invalid>   Warning   Rebooted                  node/k3s-w1                                     Node k3s-w1 has been rebooted, boot id: 0a5b7e82-e9b3-4e5d-a6ca-14a9741ef509
default       <invalid>   Normal    Starting                  node/k3s-w1                                     Starting kubelet.
default       <invalid>   Normal    NodeAllocatableEnforced   node/k3s-w1                                     Updated Node Allocatable limit across pods
default       46m         Normal    NodeReady                 node/k3s-w1                                     Node k3s-w1 status is now: NodeReady
