run,role,failed_node,url,node_notready_detected,node_ready_detected,node_notready_seconds,node_recovery_seconds,vm_poweroff_to_ready_seconds,vm_restart_to_ready_seconds,total_requests,ok_requests,failed_requests,success_rate_percent,error_rate_percent,median_latency_ms,p95_latency_ms,max_latency_ms,error_types,first_failed_request_time,last_failed_request_time,pod_restart_delta,preflight_before_ok,preflight_after_ok,manual_intervention,nodes_final_ready
run-01-e1,edge,e1,http://10.10.20.132:30080/,true,true,51.0,155.0,150.0,18.0,241,220,21,91.28630705394191,8.71369294605809,3.35,2003.19,2004.37,ReadTimeout:21,2026-06-19T13:02:15.350987+00:00,2026-06-19T13:02:55.421517+00:00,1,True,True,False,True
run-02-e2,edge,e2,http://10.10.20.131:30080/,true,true,54.0,160.0,154.0,19.0,244,220,24,90.1639344262295,9.836065573770492,3.98,2003.0684999999999,2004.15,ReadTimeout:24,2026-06-19T13:08:43.605274+00:00,2026-06-19T13:09:29.681861+00:00,2,True,True,False,True
run-03-e1,edge,e1,http://10.10.20.132:30080/,true,true,49.0,155.0,150.0,19.0,231,209,22,90.47619047619048,9.523809523809524,3.98,2003.545,2005.77,ReadTimeout:22,2026-06-19T13:15:12.176346+00:00,2026-06-19T13:15:54.260298+00:00,1,True,True,False,True
run-04-e2,edge,e2,http://10.10.20.131:30080/,true,true,55.0,150.0,145.0,19.0,221,194,27,87.78280542986425,12.217194570135746,4.49,2004.24,2005.86,ReadTimeout:27,2026-06-19T13:20:07.159362+00:00,2026-06-19T13:20:59.267627+00:00,2,True,True,False,True
run-05-e1,edge,e1,http://10.10.20.132:30080/,true,true,57.0,152.0,147.0,19.0,274,249,25,90.87591240875912,9.124087591240876,3.88,2003.28,2005.36,ReadTimeout:25,2026-06-19T13:37:28.342642+00:00,2026-06-19T13:38:19.739336+00:00,1,True,True,False,True
run-06-e2,edge,e2,http://10.10.20.131:30080/,true,true,52.0,156.0,152.0,18.0,270,246,24,91.11111111111111,8.88888888888889,4.0,2002.8855,2007.78,ReadTimeout:24,2026-06-19T13:42:49.840756+00:00,2026-06-19T13:43:35.927960+00:00,2,True,True,False,True
run-07-e1,edge,e1,http://10.10.20.132:30080/,true,true,49.0,154.0,149.0,18.0,272,251,21,92.27941176470588,7.720588235294118,3.915,2004.078,2006.81,ReadTimeout:21,2026-06-19T13:48:26.149517+00:00,2026-06-19T13:49:06.247882+00:00,1,True,True,False,True
run-08-e2,edge,e2,http://10.10.20.131:30080/,true,true,55.0,165.0,160.0,18.0,273,249,24,91.20879120879121,8.791208791208792,4.02,2003.078,2004.71,ReadTimeout:24,2026-06-19T13:54:03.646963+00:00,2026-06-19T13:54:49.727950+00:00,2,True,True,False,True
run-09-e1,edge,e1,http://10.10.20.132:30080/,true,true,49.0,153.0,148.0,19.0,244,222,22,90.98360655737704,9.01639344262295,4.505,2003.984,2008.87,ReadTimeout:22,2026-06-19T13:59:16.073569+00:00,2026-06-19T13:59:58.169620+00:00,1,True,True,False,True
run-10-e2,edge,e2,http://10.10.20.131:30080/,true,true,55.0,150.0,145.0,19.0,219,195,24,89.04109589041096,10.95890410958904,4.18,2003.482,2004.68,ReadTimeout:24,2026-06-19T14:03:49.857085+00:00,2026-06-19T14:04:35.937755+00:00,2,True,True,False,True
