NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                             MESSAGE
testapp       30m         Warning   FailedMount                    pod/nginx-test-f8f6dcbc6-q7lrd     MountVolume.SetUp failed for volume "kube-api-access-sjlnb" : failed to fetch token: Post "https://127.0.0.1:6444/api/v1/namespaces/testapp/serviceaccounts/default/token": unexpected EOF
testapp       29m         Warning   FailedToUpdateEndpoint         endpoints/nginx-test               Failed to update endpoint testapp/nginx-test: Unauthorized
testapp       29m         Warning   FailedToUpdateEndpointSlices   service/nginx-test                 Error updating Endpoint Slices for Service testapp/nginx-test: failed to update nginx-test-xvrhr EndpointSlice for Service testapp/nginx-test: Unauthorized
testapp       29m         Normal    Killing                        pod/nginx-test-f8f6dcbc6-jd9fj     Stopping container nginx
testapp       29m         Warning   FailedCreate                   replicaset/nginx-test-f8f6dcbc6    Error creating: Unauthorized
testapp       29m         Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-2w2d6
testapp       29m         Normal    Pulling                        pod/nginx-test-f8f6dcbc6-2w2d6     Pulling image "nginx:stable"
testapp       29m         Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-2w2d6     Successfully assigned testapp/nginx-test-f8f6dcbc6-2w2d6 to k3s-s2
testapp       29m         Normal    Started                        pod/nginx-test-f8f6dcbc6-2w2d6     Container started
testapp       29m         Normal    Created                        pod/nginx-test-f8f6dcbc6-2w2d6     Container created
testapp       29m         Normal    Pulled                         pod/nginx-test-f8f6dcbc6-2w2d6     Successfully pulled image "nginx:stable" in 7.889s (7.889s including waiting). Image size: 61420178 bytes.
default       28m         Normal    NodeNotReady                   node/k3s-w1                        Node k3s-w1 status is now: NodeNotReady
testapp       28m         Warning   NodeNotReady                   pod/nginx-test-f8f6dcbc6-q7lrd     Node is not ready
kube-system   28m         Warning   NodeNotReady                   pod/svclb-traefik-81700cf5-hxppm   Node is not ready
kube-system   28m         Normal    UpdatedLoadBalancer            service/traefik                    Updated LoadBalancer with new IPs: [10.10.10.129 10.10.10.130 10.10.10.131 10.10.20.129 10.10.20.130] -> [10.10.10.129 10.10.10.130 10.10.10.131 10.10.20.130]
testapp       24m         Normal    Pulled                         pod/nginx-test-f8f6dcbc6-hxc4p     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       24m         Normal    Started                        pod/nginx-test-f8f6dcbc6-hxc4p     Container started
testapp       24m         Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-hxc4p     Successfully assigned testapp/nginx-test-f8f6dcbc6-hxc4p to k3s-s3
testapp       24m         Normal    Created                        pod/nginx-test-f8f6dcbc6-hxc4p     Container created
testapp       24m         Normal    Killing                        pod/nginx-test-f8f6dcbc6-2w2d6     Stopping container nginx
testapp       24m         Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-hxc4p
testapp       23m         Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-67cz5
testapp       23m         Normal    TaintManagerEviction           pod/nginx-test-f8f6dcbc6-q7lrd     Marking for deletion Pod testapp/nginx-test-f8f6dcbc6-q7lrd
testapp       23m         Normal    Started                        pod/nginx-test-f8f6dcbc6-67cz5     Container started
testapp       23m         Normal    Created                        pod/nginx-test-f8f6dcbc6-67cz5     Container created
testapp       23m         Normal    Pulled                         pod/nginx-test-f8f6dcbc6-67cz5     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       23m         Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-67cz5     Successfully assigned testapp/nginx-test-f8f6dcbc6-67cz5 to k3s-s2
default       9m50s       Normal    Starting                       node/k3s-w1                        
default       9m51s       Normal    CertificateExpirationOK        node/k3s-w1                        Node and Certificate Authority certificates managed by k3s are OK
default       9m49s       Normal    NodeHasNoDiskPressure          node/k3s-w1                        Node k3s-w1 status is now: NodeHasNoDiskPressure
default       9m49s       Normal    NodeHasSufficientPID           node/k3s-w1                        Node k3s-w1 status is now: NodeHasSufficientPID
default       9m49s       Normal    NodeReady                      node/k3s-w1                        Node k3s-w1 status is now: NodeReady
default       9m49s       Normal    Starting                       node/k3s-w1                        Starting kubelet.
default       9m49s       Warning   Rebooted                       node/k3s-w1                        Node k3s-w1 has been rebooted, boot id: 118f44a0-d5a6-4a4c-8210-84ec72ad6e24
default       9m49s       Normal    NodeAllocatableEnforced        node/k3s-w1                        Updated Node Allocatable limit across pods
default       9m49s       Normal    NodeHasSufficientMemory        node/k3s-w1                        Node k3s-w1 status is now: NodeHasSufficientMemory
kube-system   9m48s       Normal    Created                        pod/svclb-traefik-81700cf5-hxppm   Container created
kube-system   9m48s       Normal    Pulled                         pod/svclb-traefik-81700cf5-hxppm   Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   9m48s       Normal    SandboxChanged                 pod/svclb-traefik-81700cf5-hxppm   Pod sandbox changed, it will be killed and re-created.
kube-system   9m48s       Normal    Pulled                         pod/svclb-traefik-81700cf5-hxppm   Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   9m48s       Normal    Created                        pod/svclb-traefik-81700cf5-hxppm   Container created
testapp       9m48s       Warning   FailedMount                    pod/nginx-test-f8f6dcbc6-q7lrd     MountVolume.SetUp failed for volume "kube-api-access-sjlnb" : object "testapp"/"kube-root-ca.crt" not registered
kube-system   9m48s       Normal    Started                        pod/svclb-traefik-81700cf5-hxppm   Container started
kube-system   9m48s       Normal    Started                        pod/svclb-traefik-81700cf5-hxppm   Container started
kube-system   9m47s       Normal    UpdatedLoadBalancer            service/traefik                    Updated LoadBalancer with new IPs: [10.10.10.129 10.10.10.130 10.10.10.131 10.10.20.130] -> [10.10.10.129 10.10.10.130 10.10.10.131 10.10.20.129 10.10.20.130]
